Time Step,Robot ID,X,Y,Degree,SD Est,,
34,9,245.24779,-171.29083,0,0,,
34,10,138.90819,-363.90707,0,0,,
34,11,-17.566559,-353.22272,0,0,,
35,0,-23.026878,177.71368,0,0,,
35,1,-242.04584,-58.207188,0,0,,
35,2,-40.99545,45.31001,1,1,,
35,3,-147.0271,373.2209,0,0,,
35,4,-316.2552,-202.60521,0,0,,
35,5,97.62438,-247.63644,0,0,,
35,6,-350.0112,-11.276073,0,0,,
35,7,-68.97478,258.56644,0,0,,
35,8,-3.8442583,-3.8649077,1,1,,
35,9,242.72896,-169.66125,0,0,,
35,10,141.63716,-362.66098,0,0,,
35,11,-17.965328,-356.1961,0,0,,
36,0,-20.111149,177.00763,0,0,,
36,1,-244.82124,-59.346104,0,0,,
36,2,-42.08594,48.104794,1,1,,
36,3,-149.63626,374.70154,0,0,,
36,4,-313.77246,-204.28929,0,0,,
36,5,95.98954,-250.15186,0,0,,
36,6,-352.3282,-9.370389,0,0,,
36,7,-71.96848,258.37216,0,0,,
36,8,-0.846287,-3.7546017,1,1,,
36,9,240.1908,-168.06198,0,0,,
36,10,144.49911,-361.7614,0,0,,
36,11,-17.527756,-359.16403,0,0,,
37,0,-17.2326,176.16267,0,0,,
37,1,-246.5813,-61.775555,0,0,,
37,2,-42.85151,51.005466,0,0,,
37,3,-152.39835,375.87238,0,0,,
37,4,-311.00037,-205.43626,0,0,,
37,5,94.10306,-252.4845,0,0,,
37,6,-354.1526,-6.9888754,0,0,,
37,7,-74.85316,257.54837,0,0,,
37,8,2.0891356,-3.1354938,0,0,,
37,9,237.71074,-166.374,0,0,,
37,10,147.26814,-360.60706,0,0,,
37,11,-17.103142,-362.13382,0,0,,
38,0,-14.596022,174.73143,0,0,,
38,1,-248.80858,-63.78534,0,0,,
38,2,-43.604546,53.90942,0,0,,
38,3,-155.21207,376.91302,0,0,,
38,4,-308.1838,-206.46918,0,0,,
38,5,91.6104,-254.15382,0,0,,
38,6,-356.73657,-5.4647064,0,0,,
38,7,-77.491516,256.12042,0,0,,
38,8,4.926152,-2.1601279,0,0,,
38,9,235.09738,-164.90077,0,0,,
38,10,149.84181,-359.06555,0,0,,
38,11,-16.710484,-365.108,0,0,,
39,0,-12.137925,173.01161,0,0,,
39,1,-250.53987,-66.23537,0,0,,
39,2,-44.684708,56.708214,0,0,,
39,3,-158.08171,377.78775,0,0,,
39,4,-305.19562,-206.2031,0,0,,
39,5,88.89445,-255.42804,0,0,,
39,6,-359.3837,-4.0530767,0,0,,
39,7,-79.95371,254.40648,0,0,,
39,8,7.722345,-1.0732484,0,0,,
39,9,232.36238,-163.668,0,0,,
39,10,152.83504,-358.86407,0,0,,
39,11,-16.167246,-368.0584,0,0,,
40,0,-9.818111,171.10939,0,0,,
40,1,-252.41566,-68.57661,0,0,,
40,2,-45.368053,59.62935,0,0,,
40,3,-160.96082,378.63083,0,0,,
40,4,-302.19562,-206.19977,0,0,,
40,5,86.567986,-257.3221,0,0,,
40,6,-361.7032,-2.150463,0,0,,
40,7,-82.29129,252.52612,0,0,,
40,8,10.597525,-0.21689379,0,0,,
40,9,229.70645,-162.27298,0,0,,
40,10,155.79369,-358.36768,0,0,,
40,11,-15.857311,-371.04236,0,0,,
41,0,-8.541845,168.39441,0,0,,
41,1,-253.54536,-71.355774,0,0,,
